"¿Con qué frecuencia necesitas llamar a un técnico (ej. aire acondicionado, plomería, electricidad, etc.)?",¿Cuánto tiempo promedio tardas hoy en encontrar y coordinar un técnico confiable?,¿Qué tan frustrante resulta para ti este proceso de búsqueda y coordinación?,"¿Qué impacto tiene en tu vida/negocio cuando el técnico falla (llega tarde, no aparece o hace un mal trabajo)?",Marca los factores más importantes al elegir un técnico (puedes elegir varios).,¿Qué haces actualmente para encontrar o contratar un técnico? (elige todas las que apliquen),"Si pudieras “contratar” la solución ideal, ¿cuál sería tu principal motivación?","¿Cuánto estarías dispuesto a pagar al mes por una plataforma que te conecte con técnicos verificados, con precios claros y garantía de servicio? (RD$)",Notes
3,5,5,5,"Precio,Calidad del trabajo,Disponibilidad rápida,Garantía del servicio","Pido recomendaciones a amigos/familia,Pregunto en grupos de WhatsApp/Facebook",Tener garantía,$600.00,
4,3,2,3,"Calidad del trabajo,Confianza / Reputación,Garantía del servicio","Pido recomendaciones a amigos/familia,Llamo a técnicos conocidos",Gestionar todo en un solo lugar,$995.00,
,2,4,,"Puntualidad,Calidad del trabajo",Pregunto en grupos de WhatsApp/Facebook,Mayor confiabilidad,"$1,000.00",
3,5,5,5,"Precio,Disponibilidad rápida,Garantía del servicio","Pido recomendaciones a amigos/familia,Pregunto en grupos de WhatsApp/Facebook",Tener garantía,,
2,5,3,3,"Puntualidad,Calidad del trabajo,Garantía del servicio","Pido recomendaciones a amigos/familia,Pregunto en grupos de WhatsApp/Facebook",Gestionar todo en un solo lugar,,
2,5,1,5,"Precio,Confianza / Reputación,Calidad del trabajo,Puntualidad,Disponibilidad rápida,Garantía del servicio","Pido recomendaciones a amigos/familia,Llamo a técnicos conocidos,Pregunto en grupos de WhatsApp/Facebook",Mayor confiabilidad,,
3,4,4,4,"Calidad del trabajo,Confianza / Reputación,Puntualidad","Pido recomendaciones a amigos/familia,Pregunto en grupos de WhatsApp/Facebook",Gestionar todo en un solo lugar,"$1,000.00",
4,5,5,5,"Precio,Puntualidad,Disponibilidad rápida,Garantía del servicio","Pido recomendaciones a amigos/familia,Llamo a técnicos conocidos",Gestionar todo en un solo lugar,$500.00,
2,5,5,5,"Calidad del trabajo,Confianza / Reputación,Garantía del servicio,Precio,Puntualidad,Disponibilidad rápida",Llamo a técnicos conocidos,Tener garantía,$200.00,
3,2,1,1,"Puntualidad,Calidad del trabajo,Confianza / Reputación",Llamo a técnicos conocidos,Ahorrar dinero,$0.00,
2,5,5,5,"Confianza / Reputación,Calidad del trabajo,Puntualidad,Precio,Garantía del servicio","Pido recomendaciones a amigos/familia,Llamo a técnicos conocidos",Gestionar todo en un solo lugar,$300.00,
3,5,4,3,"Puntualidad,Calidad del trabajo,Disponibilidad rápida","Pido recomendaciones a amigos/familia,Llamo a técnicos conocidos",Ahorrar tiempo,$100.00,
